Topic;STT;Từ vựng;Phiên âm;Nghĩa;;
;354;indicator (n);/ˈɪndəˌkeɪt̮ər/;dấu hiệu;;
;355;lease (n, v);/liːs/;"hợp đồng cho thuê (n)\ncho thuê (v)";;
;356;lock into (v);/lɑːk ˈɪntu/;ràng buộc;;
;357;occupy (n);/ˈɑːkjupaɪ/;chiếm hữu;;
;358;tenant (n);/ˈtenənt/;người thuê;;
;359;subject to (v);/ˈsʌbdʒɪkt/;tuân thủ, lệ thuộc vào;;
Selecting A Restaurant (Chọn nhà hàng);360;appeal (n);/əˈpiːl/;sức cuốn hút;;
;361;arrive (v);/əˈraɪv/;đến;;
;362;compromise (n, v);/ˈkɑːmprəmaɪz/;thỏa hiệp (v), sự thỏa hiệp (n);;
;363;daring (adj);/ˈdɛrɪŋ/;cả gan, táo bạo;;
;364;familiar with (adj);/fəˈmɪliər wɪθ/ /;quen thuộc với ;;
;365;guide (n, v);/ɡaɪd/;hướng dẫn viên, hướng dẫn, chỉ đường;;
;366;majority (n);/məˈdʒɔːrəti/;đa số;;
;367;mix (v);/mɪks/;trộn, pha lẫn;;
;368;rely on (v);/rɪˈlaɪ ɔːn/;dựa vào;;
;369;secure (v, adj);/sɪˈkjʊr/;bảo vệ (v), an toàn, bảo đảm (adj);;
;370;subjective (adj);/səbˈdʒektɪv/;mang tính chủ quan;;
;371;suggestion (n);səɡˈdʒɛstʃən/;đề nghị, gợi ý;;
Eating out (Đi ăn ngoài);372;appetite (n);/ˈæpɪtaɪt/;sự thèm ăn;;
;373;complete (v);/kəmˈpliːt/;hoàn thành;;
;374;excite (v);/ɪkˈsaɪt/;kích thích;;
;375;flavor (n);/ˈfleɪvər/;hương vị, mùi vị;;
;376;foreign (adj);/ˈfɔːrən/;thuộc nước ngoài;;
;377;ingredient (n);/ɪnˈɡriːdiənt/;thành phần;;
;378;judge (n, v);/dʒʌdʒ/;thẩm phán (n)bình phẩm, phán xét (v);;
;379;mix-up (n);/mɪks ʌp/;sự lộn xộncuộc ẩu đả;;
;380;patron (n);/ˈpeɪtrən;khách quen;;
;381;predict (v);/prɪˈdɪkt/;dự đoán;;
;382;randomly (adv);/ˈrændəm/;tình cờ, ngẫu nhiên;;
;383;remind (v);/rɪˈmaɪnd/;nhắc nhở;;
Ordering Lunch (Đặt bữa trưa);384;burden (n, v);/ˈbɜːrdn/;"gánh nặng (n)\ntạo gánh nặng (v)";;
;385;commonly (adv);/ˈkɑmənli/;thông thường;;
;386;delivery (n);/dɪˈlɪvəri/;sự giao hàng;;
;387;elegance (n);/ˈelɪɡəns/;sự thanh lịch;;
;388;fall to (v);/fɔːl tuː/;rơi vào tay (nói về trách nhiệm);;
;389;impress (v);/ɪmˈpres/;gây ấn tượng;;
;390;individual (adj);/ˌɪndɪˈvɪdʒuəl/;cá nhân, riêng lẻ;;
;391;reasonable (adj);/ˈriːznəbl/;hợp lý, phải chăng;;
;392;multiple (adj, v);/ˈmʌltɪplaɪ/;"nhiều (adj)\nlàm tăng lên (v)";;
;393;narrow (adj, v);/ˈnæroʊ/;"chật hẹp (adj)\nthu hẹp (v)";;
;394;pick up (v);/pɪk ʌp/;nhận hàng tại chỗ;;
;395;settle (v);/ˈsetl/;thanh toán;;
Cooking As A Career (Nấu ăn là sự nghiệp);396;accustom to (v);/əˈkʌstəm tu/;làm quen với;;
;397;apprentice (n);/əˈprentɪs/;người học việc;;
;398;culinary (adj);/ˈkʌlɪneri/;thuộc về nấu nướng;;
;399;demanding (adj);/dɪˈmændɪŋ/;khó khăn, yêu cầu cao;;
;400;draw (v);/drɔː/;thu hút, lôi cuốn;;
;401;incorporate (v);/ɪnˈkɔːrpəreɪt/;sát nhập;;
;402;influx (n);/ˈɪnflʌks/;dòng người đi vào;;
;403;method (n);/ˈmeθəd/;phương pháp;;
;404;methodical (adj);/məˈθɑdɪkl/;làm việc có hệ thống (tính cách);;
;405;procedure (n);/prəˈsidʒər/;quy trình;;
;406;outlet (n);/ˈaʊtlet/;cách thể hiện;;
;407;profession (n);/prəˈfeʃn/;chuyên môn;;
;408;relinquish (v);/rɪˈlɪŋkwɪʃ/;từ bỏ;;
;409;theme (n);/θiːm/;đề tài, chủ đề;;
Events (Sự kiện);410;assist (v);/əˈsɪst/;hỗ trợ;;
;411;support (v);/səˈpɔrt/;ủng hộ, khuyến khích;;
;412;coordinate (v);/koʊˈɔːrdɪneɪt/;phối hợp;;
;413;dimension (n);/daɪˈmenʃn/;kích thước;;
;414;general (adj);/ˈdʒenrəl/;chung, tổng quát;;
;415;ideal (adj);/aɪˈdiːəl/;lý tưởng;;
;416;exact (adj);/ɪɡˈzækt/;chính xác;;
;417;lead time (n);/ˈliːd taɪm/;thời gian tiến hành;;
;418;proximity (n);/prɑːkˈsɪməti/;sự gần (về không gian, thời gian);;
;419;regulation (n);/ˌrɛɡyəˈleɪʃn/;quy định;;
;420;site (n);/saɪt/;địa điểm (xây dựng);;
;421;stage (v);/steɪdʒ/;trình diễn;;
General Travel (Du lịch);422;agency (n);/ˈeɪdʒənsi/;công ty đại diện, môi giới;;
;423;announce (v);/əˈnaʊns/;thông báo;;
;424;beverage (n);/ˈbevərɪdʒ/;đồ uống;;
;425;board (v);/bɔːrd/;lên tàu, xe;;
;426;claim (v);/kleɪm/;cho là, khẳng định là;;
;427;delay (v);/dɪˈleɪ/;trì hoãn;;
;428;depart (v);/dɪˈpɑːrt/;khởi hành;;
;429;embark (v);/ɪmˈbɑːrk/;lên tàu;;
;430;itinerary (n);/aɪˈtɪnəreri/;lịch trình, hành trình;;
;431;luggage (n);/ˈlʌɡɪdʒ/;hành lý;;
;432;prohibit (v);/prəˈhɪbɪt/;cấm, ngăn chặn;;
;433;validate (v);/ˈvælɪdeɪt/;phê duyệt;;
Airlines (Hàng không);434;deal with (v);/diːl wɪθ/;giải quyết, đối mặt với;;
;435;destination (n);/ˌdestɪˈneɪʃn/;điểm đến;;
;436;distinguish (v);/dɪˈstɪŋɡwɪʃ/;phân biệt;;
;437;economize (v);/ɪˈkɑːnəmaɪz/;tiết kiệm;;
;438;equivalent (adj);/ɪˈkwɪvələnt/;tương đương;;
;439;excursion (n);/ɪkˈskɜːrʒn/;chuyến tham quan;;
;440;expense (n);/ɪkˈspens/;chi phí;;
;441;extend (v);/ɪkˈstend/;gia hạn, kéo dài;;
;442;prospective (adj);/prəˈspektɪv;có triển vọng, có khả năng;;
;443;situation (n);/ˌsɪtʃuˈeɪʃn/;tình huống;;
;444;substance (n);/ˈsʌbstəns/;chất;;
;445;economy class (n);/ɪˈkɑnəmi klæs/;hạng phổ thông trên máy bay;;
Trains (Xe lửa);446;comprehensive (adj);/ˌkɑːmprɪˈhensɪv/;toàn diện, đầy đủ;;
;447;deluxe (adj);/ˌdəˈlʌks/;sang trọng, cao cấp;;
;448;directory (n);/daɪˈrɛktəri/;sách hướng dẫn;;
;449;duration (n);/duˈreɪʃn/;khoảng thời gian;;
;450;entitle (v);/ɪnˈtaɪtl/;cho phép;;
;451;fare (n);/fer/;tiền vé;;
;452;offset (v);/ˈɔːfset/;bù lại;;
;453;operate (v);/ˈɑːpəreɪt/;hoạt động, vận hành;;
;454;punctual (adj);/ˈpʌŋktʃuəl/;đúng giờ;;
;455;relatively (adv);/ˈrɛlət̮ɪvli/;tương đối;;
;456;remainder (n);/rɪˈmeɪndər/;phần còn lại;;
;457;remote (adj);/rɪˈmoʊt/;xa xôi, hẻo lánh;;
Hotels (Khách sạn);458;advance (v);/ədˈvæns/ 33;tiến bộ, tiến tới;;
;459;chain (n);/tʃeɪn/;chuỗi (doanh nghiệp);;
;460;check in (v);/tʃek ɪn/;làm thủ tục (nhận phòng, nhận vé…);;
;461;confirm (v);/kənˈfɜːrm/;xác nhận, chứng thực;;
;462;expect (v);/ɪkˈspekt/;mong đợi;;
;463;housekeeper (n);/ˈhaʊskiːpər/;nhân viên dọn phòng;;
;464;notify (v);/ˈnoʊtɪfaɪ/;thông báo;;
;465;preclude (v);/prɪˈkluːd/;ngăn cản;;
;466;quote (n);/kwoʊt/;lời trích dẫn;;
;467;rate (n);/reɪt/;tỷ lệ, mức giá;;
;468;reserve (v);/rɪˈzɜːrv/;đặt chỗ;;
;469;serve (v);/sɜːrv/;phục vụ;;
Car Rentals (Thuê ô tô);470;coincide (v);/ˌkoʊɪnˈsaɪd/;trùng hợp, đồng thời;;
;471;confusion (n);/kənˈfyuʒn/;sự bối rối;;
;472;contact (v);/ˈkɑːntækt/;liên hệ;;
;473;disappoint (v);/ˌdɪsəˈpɔɪnt/;gây thất vọng;;
;474;guarantee (v, n);/ˌɡærənˈtiː/;bảo đảm (v), sự bảo đảm (n);;
;475;intend (v);/ɪnˈtend/;dự định, có ý định;;
;476;license (v);/ˈlaɪsns/;cấp phép;;
;477;nervous (adj);/ˈnɜːrvəs/;lo lắng, bồn chồn;;
;478;request (n, v);/rɪˈkwest/;yêu cầu (v), lời yêu cầu (n);;
;479;tempt (v);/tempt/;lôi kéo, thuyết phục;;
;480;thrill (n, v);/θrɪl/;hồi hộp, xúc động (v), cảm giác hồi hộp (n);;
;481;tier (n);/tɪr/;hàng, tầng;;
Movies (Phim ảnh);482;attain (v);/əˈteɪn/;đạt được (mục đích);;
;483;combine (v);/kəmˈbaɪn/;kết hợp, cộng lại;;
;484;continue (v);/kənˈtɪnjuː/;tiếp tục (= go on);;
;485;description (n);/dɪˈskrɪpʃn/;sự mô tả;;
;486;disperse (v);/dɪˈspɜːrs/;giải toán;;
;487;entertain (v);/ˌentərˈteɪn/;"giải trí\ntiếp đãi";;
;488;influence (n, v);/ˈɪnfluəns/;sự ảnh hưởng (n);;
;489;range (n);/reɪndʒ/;phạm vi;;
;490;release (n, v);/rɪˈliːs/;"công chiếu (v)\nsự công chiếu (n)";;
;491;represent (v);/ˌreprɪˈzent/;tượng trưng, đại diện;;
;492;separate (v);/ˈsepəreɪt/;tách rời, chia;;
;493;successive (adj);/səkˈsesiv/;liên tiếp;;
Theater (Rạp phim);494;acting (adj, n);/ˈæktɪŋ/;"tạm thay thế trách nhiệm (adj)\ndiễn xuất (n)";;
;495;approach (v);/əˈprəʊtʃ/;tiếp cận;;
;496;audience (n);/ˈɔːdiəns/;khán giả (xem trực tiếp);;
;497;create (v);/kriˈeɪt/;tạo ra;;
;498;dialogue (n);/ˈdaɪəlɑːɡ/;cuộc đối thoại;;
;499;element (n);/ˈelɪmənt/;yếu tố;;
;500;experience (n);/ɪkˈspɪriəns/;kinh nghiệm;;
;501;occur (v);/əˈkɜːr/;diễn ra, xảy ra;;
;502;perform (v);/pərˈfɔːrm/;biểu diễn, trình diễn;;
;503;rehearse (v);/rɪˈhɜːrs/;diễn tập;;
;504;review (n, v);/rɪˈvjuː/;"bài phê bình (n)\nxem xét lại (v)";;
;505;sell out (v);/sel aʊt/;bán hết;;
Music (Âm nhạc);506;available  (adj);/əˈveɪləbl/;sẵn có;;
;507;broaden (v);/ˈbrɔːdn/;mở rộng;;
;508;categorize (v);/ˈkætəɡəraɪz/;phân loại;;
;509;disparate (adj);/ˈdɪs.pɚ.ət/;khác biệt hoàn toàn;;
;510;divide (v);/dɪˈvaɪd/;phân chia;;
;511;favor(v);/ˈfeɪvər/;thích hơn;;
;512;instinct (n);/ˈɪnstɪŋkt/;bản năng;;
;513;live (adj);/laɪv/;còn sống;;
;514;reason (n);/ˈriːzn/;lý do;;
;515;relaxation (n);/ˌrilækˈseɪʃn/;sự thư giãn;;
;516;taste (n);/teɪst/;thị hiếu, gu (thẩm mỹ);;
;517;urge (v, n);/ɜːrdʒ/;"thôi thúc (v)\nsự thôi thúc (n)";;
Museums (Bảo tàng);518;acquire (v);/əˈkwaɪər/;"có được, mua được\ntiếp thu (kiến thức)";;
;519;admire (v);/ədˈmaɪər/;ngưỡng mộ;;
;520;collection (n);/kəˈlɛkʃn/;bộ sưu tập;;
;521;criticism (n);/ˈkrɪt̮əˌsɪzəm/;sự phê bình;;
;522;express (v);/ɪkˈspres/;biểu lộ, bày tỏ;;
;523;fashion (n);/ˈfæʃn/;thời trang;;
;524;leisure (n);/ˈliːʒər/;thời gian rảnh;;
;525;respond (v);/rɪˈspɑːnd/;trả lời, phản ứng lại;;
;526;schedule (n, v);/ˈskedʒuːl/;"lịch trình, kế hoạch (n)\nlên kế hoạch (v) (= plan)";;
;527;significant (adj);/sɪɡˈnɪfɪkənt/;quan trọng, có ý nghĩa;;
;528;specialize in (v);/ˈspeʃəlaɪz  ɪn/;chuyên về (lĩnh vực gì, làm gì);;
;529;spectrum (n);/ˈspektrəm/;"quang phổ\ndải âm thanh";;
Media (Truyền thông);530;assignment (n);/əˈsaɪnmənt/;bài tập, nhiệm vụ;;
;531;constitute (v);/ˈkɑːnstətuːt/;cấu thành, tạo hành;;
;532;decisive (adj);/dɪˈsaɪsɪv/;quyết đoán;;
;533;disseminate (v);/dɪˈsemɪneɪt/;truyền bá;;
;534;impact (n);/ɪmˈpækt/;sự tác động;;
;535;in-depth (idiom);/ɪn depθ/;kỹ càng, triệt để;;
;536;investigate (v);/ɪnˈvestɪɡeɪt/;điều tra, theo dõi;;
;537;link (v, n);/lɪŋk/;"mối liên hệ (n)\nliên kết (v)";;
;538;politician (n);/ˌpɑːləˈtɪʃn/;chính trị gia;;
;539;subscribe to (v);/səbˈskraɪb/;"đặt mua dài hạn\nquyên góp";;
;540;thorough (adj);/ˈθɜːroʊ/;kỹ lưỡng, tỉ mỉ;;
;541;choosy (adj);/ˈtʃuzi/;kén chọn;;
Dentist’s Office (Phòng khám nha khoa);542;catch up (v);/kætʃ ʌp/;bắt kịp với;;
;543;distract (v);/dɪˈstrækt/;làm xao nhãng;;
;544;encourage (v) somebody to Verb;/ɪnˈkɜːrɪdʒ/;khuyến khích ai làm gì;;
;545;evident (adj);/ˈevɪdənt/;hiển nhiên, rõ ràng (= obvious);;
;546;habit (n);/ˈhæbɪt/;thói quen;;
;547;illuminate (v);/ɪˈluːmɪneɪt/;chiếu sáng;;
;548;irritate (v);/ˈɪrɪteɪt/;làm bực mình;;
;549;overview (n);/ˈoʊvərvjuː/ 22;cái nhìn khái quát;;
;550;position (n);/pəˈzɪʃn/;vị trí, chỗ;;
;551;regular (adj);/ˈreɡjələr/;thường xuyên;;
;552;restore (v);/rɪˈstɔːr/;khôi phục;;
;553;aware (adj);/əˈwer/;biết, nhận thức;;
Doctor’s Office (Phòng khám bác sĩ);554;annual (adj);/ˈænjuəl/;hàng năm;;
;555;appoint (v);/əˈpɔɪnt/;ấn định (ngày giờ, nơi chốn);;
;556;assess (v);/əˈses/;đánh giá;;
;557;diagnose (v);/ˌdaɪəɡˈnoʊs/;chẩn đoán;;
;558;effective (adj);/ɪˈfektɪv/;hiệu quả;;
;559;instrument (n);/ˈɪnstrəmənt/;dụng cụ, thiết bị;;
;560;manage (v);/ˈmænɪdʒ/;kiểm soát, quản lý;;
;561;prevent (v);/prɪˈvent/;ngăn chặn;;
;562;recommend (v);/ˌrekəˈmend/;đề nghị, gợi ý;;
;563;record (v);/rɪˈkɔːrd/;ghi chép lại;;
;564;serious (adj);/ˈsɪriəs/;nghiêm trọng, nặng;;
;565;prevention is better than cure (idiom);;phòng bệnh hơn chữa bệnh;;
Health Insurance (Bảo hiểm sức khỏe);566;alternative (adj);/ɔːlˈtɜːrnətɪv/;thay thế, khác;;
;567;aspect (n);/ˈæspekt/;khía cạnh;;
;568;concern  (n, v);/kənˈsɜːrn/;"bận tâm, lo lắng (v)\nmối quan tâm, lo lắng (n)";;
;569;emphasize (v);/ˈemfəsaɪz/;nhấn mạnh;;
;570;incur (v);/ɪnˈkɜːr/;gánh chịu;;
;571;personnel (n);/ˌpɜːrsəˈnel/;nhân sự;;
;572;policy (n);/ˈpɑːləsi/;chính sách;;
;573;portion (n);/ˈpɔːrʃn/;phần;;
;574;regardless (adv);/rɪˈɡɑrdləs/;bất chấp;;
;575;reimburse (v);/ˌriːɪmˈbɜːrs/;hoàn trả;;
;576;suit (v);/suːt/;hợp với;;
;577;treat (v);/triːt/;chữa trị;;
Hospitals (Bệnh viện);578;accompany (v);/əˈkʌmpəni/;đi cùng;;
;579;admit (v);/ədˈmɪt/;cho vào, cho phép;;
;580;authorize (v);/ˈɔːθəraɪz/;ủy quyền;;
;581;designate (v);/ˈdezɪɡneɪt/;chỉ rõ;;
;582;escort (n);/ɪˈskɔːrt/;người hộ tống;;
;583;identify (v);/aɪˈdentɪfaɪ/;nhận diện;;
;584;permission (n);/pərˈmɪʃn/;sự chấp thuận;;
;585;pertinent (adj);/ˈpɜːrtnənt/;có liên quan;;
;586;procedure (n);/prəˈsiːdʒər/;quy trình;;
;587;result (n);/rɪˈzʌlt/;kết quả;;
;588;statement (n);/ˈsteɪtmənt/;bản tường trình, báo cáo;;
;589;surgery (n);/ˈsɜːrdʒəri/;ca phẫu thuật;;
Pharmacy (Hiệu thuốc);590;consultation (n);/ˌkɑnslˈteɪʃn/;việc bàn bạc, hội ý;;
;591;convenient (adj);/kənˈviːniənt/;thuận tiện;;
;592;detect (v);/dɪˈtekt/;tìm ra, phát hiện ra;;
;593;factor (n);/ˈfæktər/;yếu tố;;
;594;interaction (n);/ˌɪntərˈækt/;sự tương tác;;
;595;limit (n);/ˈlɪmɪt/;giới hạn, định mức;;
;596;monitor (v);/ˈmɑːnɪtər/ 54;giám sát;;
;597;potential (adj);/pəˈtenʃl/;tiềm năng;;
;598;sample (n);/ˈsæmpl/;mẫu thử (n);;
;599;sense (n);/sens/;khả năng phán đoán (n)cảm thấy (v);;
;600;volunteer (n, v);/ˌvɑː.lənˈtɪr/;tình nguyện (v)tình nguyện viên (n);;
